"instance_id","client_name","site_name","region_name","client_region_name","site_region_name","month_date","total_lifetimes","total_user_days_online_this_month","total_users_online_this_month","avg_daily_engagement_score","total_lifetime_days","li_attempts","mission_step_completions","rewards_claimed","rank_completions","sale_submissions","user_referrals","badge_completions","banner_clicks","poll_completions","survey_completions","certification_completions","achievement_completions","community_comments","community_replies","community_likes","snippets_created","snippets_viewed","engagement_score"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-07-01","3167","68","28","0.9508928571428571","41631","34","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","29","74"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-01-01","1856","14","5","1.6363636363636365","11658","6","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","7","18"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-04-01","1034","80","18","1.0144444444444445","533147","48","0","0","0","0","0","1","0","8","0","0","0","0","0","0","0","6","63"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-09-01","2023","309","49","1.983588801045698","390322","461","34","0","4","0","0","21","16","0","0","0","0","7","0","43","0","71","657"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-11-01","2002","367","55","2.6609248510110572","445270","769","55","0","4","0","0","75","22","34","4","0","0","3","2","31","1","78","1078"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-06-01","4002","68","32","1.1935897435897436","33748","39","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","37","92"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-08-01","880","75","19","0.6213991769547326","488156","27","0","12","0","0","0","1","0","5","0","0","0","5","0","2","0","24","76"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-03-01","1110","99","26","3.572023809523809","557421","320","0","0","0","0","0","8","1","3","8","0","0","1","1","2","0","2","346"
"9A8FD8C12C3B02C592682D22E7681DB9","The Re-Wired Group","The Re-Wired Group",,"The Re-Wired Group","The Re-Wired Group","2024-12-01","207","24","5","0.0625","2407","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2"
"9A8FD8C12C3B02C592682D22E7681DB9","The Re-Wired Group","The Re-Wired Group",,"The Re-Wired Group","The Re-Wired Group","2025-06-01","1096","33","9","5.263888888888889","19612","66","55","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","136"
